target_id	length	eff_length	est_counts	tpm
ENSDART00000171483.2	397	194.338	0	0
ENSDART00000171356.2	339	142.579	0	0
ENSDART00000172182.2	413	209.405	0	0
ENSDART00000113019.3	414	210.353	0	0
ENSDART00000170523.2	375	174.094	0	0
ENSDART00000160187.2	385	183.214	0	0
ENSDART00000114271.4	416	212.241	0	0
ENSDART00000159161.2	423	218.794	0	0
ENSDART00000162061.2	314	121.613	0	0
ENSDART00000162709.3	4761	4552.35	2735.95	22.3866
ENSDART00000125149.3	3218	3009.35	0	0
ENSDART00000182440.1	3291	3082.35	335.779	4.05777
ENSDART00000168177.2	3370	3161.35	9	0.106044
ENSDART00000171570.2	1371	1162.35	0	0
ENSDART00000162972.3	1568	1359.35	39.7072	1.08807
ENSDART00000007487.9	873	664.376	1367	76.6427
ENSDART00000168926.2	1724	1515.35	6	0.147488
ENSDART00000171190.2	3169	2960.35	174.661	2.19771
ENSDART00000167950.2	667	458.398	20.3754	1.6557
ENSDART00000165811.2	556	348.133	39.2946	4.20439
ENSDART00000170923.2	1670	1461.35	0	0
ENSDART00000169803.2	998	789.348	0	0
ENSDART00000169180.2	3210	3001.35	1608	19.9566
ENSDART00000165795.2	1002	793.348	0	0
ENSDART00000079649.6	641	432.434	0	0
ENSDART00000160925.2	4365	4156.35	72.4242	0.649065
ENSDART00000188827.1	4409	4200.35	0	0
ENSDART00000159824.2	734	525.398	0	0
ENSDART00000171098.2	437	231.954	0	0
ENSDART00000160161.2	46	21.4667	0	0
ENSDART00000164734.2	55	22.381	0	0
ENSDART00000162964.2	49	24.4667	0	0
ENSDART00000163969.2	49	24.4667	0	0
ENSDART00000170440.2	46	21.4667	0	0
ENSDART00000157393.2	52	25.8125	0	0
ENSDART00000166061.2	45	20.4667	0	0
ENSDART00000171447.2	49	24.4667	0	0
ENSDART00000168385.2	60	20.6897	7	12.6026
ENSDART00000164889.2	63	20.9697	0	0
ENSDART00000167932.2	60	20.6897	0	0
ENSDART00000168960.2	63	20.9697	6	10.658
ENSDART00000160963.2	63	20.9697	0	0
ENSDART00000166210.2	60	20.6897	0	0
ENSDART00000172223.2	56	21.4348	0	0
ENSDART00000161734.2	64	20.7714	0	0
ENSDART00000170448.2	57	21.5417	0	0
ENSDART00000161350.2	63	20.9697	0	0
ENSDART00000186687.1	63	20.9697	5	8.88166
ENSDART00000158609.2	60	20.6897	0	0
ENSDART00000167576.2	63	20.9697	0	0
ENSDART00000186087.1	63	20.9697	0	0
ENSDART00000190142.1	66	19.2381	0	0
ENSDART00000180403.1	63	20.9697	0	0
ENSDART00000158148.2	63	20.9697	0	0
ENSDART00000166370.2	63	20.9697	0	0
ENSDART00000191760.1	63	20.9697	0	0
ENSDART00000159055.2	66	19.2381	0	0
ENSDART00000113547.3	903	694.376	0	0
ENSDART00000183757.1	63	20.9697	0	0
ENSDART00000180943.1	63	20.9697	0	0
ENSDART00000185656.1	66	19.2381	0	0
ENSDART00000170926.2	63	20.9697	0	0
ENSDART00000186681.1	66	19.2381	0	0
ENSDART00000182863.1	63	20.9697	0	0
ENSDART00000164894.2	66	19.2381	0	0
ENSDART00000164120.2	63	20.9697	0	0
ENSDART00000162352.2	60	20.6897	0	0
ENSDART00000191731.1	63	20.9697	0	0
ENSDART00000166454.2	57	21.5417	0	0
ENSDART00000167581.2	57	21.5417	0	0
ENSDART00000159473.2	63	20.9697	0	0
ENSDART00000182846.1	63	20.9697	0	0
ENSDART00000193507.1	66	19.2381	0	0
ENSDART00000193441.1	66	19.2381	0	0
ENSDART00000159092.2	63	20.9697	0	0
ENSDART00000162187.2	63	20.9697	0	0
ENSDART00000171126.2	60	20.6897	0	0
ENSDART00000184586.1	66	19.2381	0	0
ENSDART00000190235.1	66	19.2381	0	0
ENSDART00000190038.1	399	196.25	0	0
ENSDART00000167303.2	63	20.9697	0	0
ENSDART00000159979.2	60	20.6897	0	0
ENSDART00000165172.2	63	20.9697	0	0
ENSDART00000168126.2	57	21.5417	0	0
ENSDART00000171914.2	63	20.9697	0	0
ENSDART00000190775.1	66	19.2381	0	0
ENSDART00000159628.2	63	20.9697	0	0
ENSDART00000158978.2	907	698.348	0	0
ENSDART00000161459.2	60	20.6897	0	0
ENSDART00000170206.2	61	21.6897	0	0
ENSDART00000181827.1	63	20.9697	0	0
ENSDART00000161571.2	57	21.5417	0	0
ENSDART00000171681.2	60	20.6897	0	0
ENSDART00000162921.2	60	20.6897	0	0
ENSDART00000159011.2	63	20.9697	0	0
ENSDART00000170691.2	63	20.9697	0	0
ENSDART00000185019.1	66	19.2381	0	0
ENSDART00000193555.1	66	19.2381	0	0
ENSDART00000161763.2	63	20.9697	0	0
ENSDART00000192441.1	63	20.9697	0	0
ENSDART00000187002.1	896	687.376	0	0
ENSDART00000190928.1	66	19.2381	0	0
ENSDART00000166020.2	66	19.2381	0	0
ENSDART00000160505.2	60	20.6897	0	0
ENSDART00000191315.1	976	767.348	0	0
ENSDART00000170860.2	63	20.9697	0	0
ENSDART00000161136.2	63	20.9697	0	0
ENSDART00000161690.2	63	20.9697	0	0
ENSDART00000192804.1	63	20.9697	0	0
ENSDART00000166828.2	63	20.9697	0	0
ENSDART00000154123.2	849	640.376	0	0
ENSDART00000156878.3	1157	948.348	0	0
ENSDART00000156142.2	1978	1769.35	17	0.357892
ENSDART00000147009.2	822	613.376	379	23.0159
ENSDART00000155827.2	1161	952.348	93	3.6375
ENSDART00000154829.2	1305	1096.35	175	5.94574
ENSDART00000062130.6	1098	889.348	0	0
ENSDART00000155479.2	772	563.376	114	7.53742
ENSDART00000108694.4	4172	3963.35	666.083	6.26012
ENSDART00000162388.2	2689	2480.35	147.711	2.21828
ENSDART00000170119.2	5202	4993.35	147.543	1.10064
ENSDART00000163370.3	2009	1800.35	103.457	2.14051
ENSDART00000189331.1	910	701.348	2.54337	0.135081
ENSDART00000144959.3	790	581.376	180.233	11.5476
ENSDART00000147509.2	671	462.398	0	0
ENSDART00000092479.5	678	469.398	916.767	72.7503
ENSDART00000169521.2	1111	902.348	51	2.10529
ENSDART00000181582.1	417	213.172	0	0
ENSDART00000149108.2	1677	1468.35	98.5806	2.5008
ENSDART00000192145.1	3575	3366.35	304.345	3.36763
ENSDART00000053045.5	3089	2880.35	5016.55	64.8749
ENSDART00000143599.2	696	487.398	494.378	37.7826
ENSDART00000168857.2	4172	3963.35	136.068	1.27882
ENSDART00000091955.5	4669	4460.35	49.2205	0.411049
ENSDART00000173716.2	2715	2506.35	24.5857	0.36539
ENSDART00000190811.1	4056	3847.35	3.25743	0.0315377
ENSDART00000039267.7	1029	820.348	556.607	25.2736
ENSDART00000131609.3	928	719.348	63.4436	3.28522
ENSDART00000135265.2	939	730.348	0	0
ENSDART00000123482.4	1615	1406.35	264.127	6.99578
ENSDART00000057528.5	1879	1670.35	335.429	7.48015
ENSDART00000171868.2	668	459.398	174.698	14.165
ENSDART00000166819.2	1580	1371.35	968.286	26.301
ENSDART00000164984.2	640	431.434	51.4106	4.43868
ENSDART00000162589.2	633	424.452	51.8937	4.55411
ENSDART00000180692.1	2557	2348.35	229.336	3.63769
ENSDART00000081477.5	1577	1368.35	1150	31.3053
ENSDART00000169763.2	1124	915.348	20	0.813879
ENSDART00000146325.2	1157	948.348	0	0
ENSDART00000018533.8	1232	1023.35	6	0.218396
ENSDART00000013607.9	1791	1582.35	1184.82	27.8912
ENSDART00000157155.2	2515	2306.35	1962.18	31.6906
ENSDART00000013814.8	1325	1116.35	4552	151.886
ENSDART00000133348.2	992	783.348	27	1.28388
ENSDART00000168251.2	800	591.376	0	0
ENSDART00000147715.2	1088	879.348	31.0904	1.31699
ENSDART00000128486.3	641	432.434	0	0
ENSDART00000122108.3	6037	5828.35	921.424	5.88885
ENSDART00000136763.2	505	297.752	12	1.50121
ENSDART00000154124.2	944	735.348	32.5588	1.64927
ENSDART00000110781.7	3769	3560.35	356.441	3.72917
ENSDART00000155803.2	861	652.376	0	0
ENSDART00000146728.3	1681	1472.35	58.1751	1.47178
ENSDART00000171731.2	1022	813.348	29.3703	1.34508
ENSDART00000182840.1	843	634.376	151.215	8.87899
ENSDART00000017902.8	5192	4983.35	255	1.90605
ENSDART00000135940.4	3937	3728.35	259	2.58762
ENSDART00000163003.2	1665	1456.35	0	0
ENSDART00000150167.3	921	712.348	0	0
ENSDART00000115394.4	1290	1081.35	0	0
ENSDART00000136147.2	939	730.348	294.04	14.9966
ENSDART00000151004.2	1313	1104.35	530.124	17.8808
ENSDART00000133998.3	2129	1920.35	1131.25	21.9429
ENSDART00000134574.3	725	516.398	0	0
ENSDART00000141998.2	961	752.348	43.7514	2.16615
ENSDART00000148606.2	3095	2886.35	0	0
ENSDART00000156352.2	7929	7720.35	2856.07	13.78
ENSDART00000192212.1	5837	5628.35	316.667	2.09575
ENSDART00000141746.3	664	455.434	24.0604	1.96786
ENSDART00000133948.2	462	255.877	33.5618	4.88574
ENSDART00000139551.2	797	588.376	0	0
ENSDART00000031625.9	2072	1863.35	128.064	2.56005
ENSDART00000192324.1	2886	2677.35	29.3454	0.408274
ENSDART00000191464.1	4218	4009.35	458.78	4.26233
ENSDART00000182369.1	2657	2448.35	43.1049	0.655798
ENSDART00000152597.2	1016	807.348	1.38844	0.0640593
ENSDART00000016096.9	2892	2683.35	2480.14	34.4283
ENSDART00000135044.2	4782	4573.35	1193	9.71679
ENSDART00000173029.2	508	300.728	62.5736	7.75056
ENSDART00000111140.5	323	129.075	6988.97	2016.91
ENSDART00000173145.2	768	559.376	301.162	20.0545
ENSDART00000172953.2	436	230.972	1790.29	288.722
ENSDART00000142337.2	3051	2842.35	0	0
ENSDART00000141271.2	234	62.9368	0	0
ENSDART00000031727.5	1823	1614.35	28.0219	0.646572
ENSDART00000148992.3	1256	1047.35	79.059	2.81175
ENSDART00000149935.2	601	392.663	0	0
ENSDART00000149030.3	853	644.376	0	0
ENSDART00000149260.3	1826	1617.35	555.377	12.7909
ENSDART00000187916.1	4285	4076.35	666.507	6.09045
ENSDART00000037999.5	1607	1398.35	464.368	12.3698
ENSDART00000170614.2	4425	4216.35	290.632	2.56758
ENSDART00000144819.2	346	148.633	54	13.533
ENSDART00000193627.1	1449	1240.35	323	9.70008
ENSDART00000143300.3	2077	1868.35	2660	53.0323
ENSDART00000134938.2	577	368.875	0	0
ENSDART00000066086.8	2062	1853.35	15	0.301475
ENSDART00000139036.2	605	396.615	207.902	19.5257
ENSDART00000144900.2	430	225.342	13.098	2.1651
ENSDART00000154778.2	15627	15418.3	281.352	0.679719
ENSDART00000155335.2	1010	801.348	0	0
ENSDART00000188706.1	12051	11842.3	0.0375027	0.000117962
ENSDART00000182622.1	11386	11177.3	0	0
ENSDART00000184483.1	11968	11759.3	201.233	0.637431
ENSDART00000181338.1	11324	11115.3	2.39937e-07	8.04063e-10
ENSDART00000152232.3	2148	1939.35	20.1256	0.386553
ENSDART00000152493.2	2295	2086.35	447.818	7.99523
ENSDART00000065125.7	1982	1773.35	343.099	7.20679
ENSDART00000152234.2	716	507.398	6.95775	0.510783
ENSDART00000131454.2	321	127.392	12.9889	3.79792
ENSDART00000009315.11	1966	1757.35	0	0
ENSDART00000110696.3	1968	1759.35	2.01109	0.042579
ENSDART00000012627.6	1819	1610.35	0	0
ENSDART00000158599.2	884	675.376	166.282	9.17099
ENSDART00000164965.2	849	640.376	173.949	10.1182
ENSDART00000111374.4	948	739.348	634.657	31.9747
ENSDART00000054472.4	4633	4424.35	319.988	2.69402
ENSDART00000182810.1	3975	3766.35	0	0
ENSDART00000136014.2	650	441.434	0	0
ENSDART00000065956.4	528	320.456	0	0
ENSDART00000009912.7	1647	1438.35	8	0.207177
ENSDART00000181589.1	2102	1893.35	0	0
ENSDART00000132083.3	2627	2418.35	16	0.246444
ENSDART00000132887.4	940	731.348	175.339	8.93039
ENSDART00000147429.3	780	571.376	0	0
ENSDART00000130234.4	552	344.161	0.00384068	0.000415684
ENSDART00000136528.4	2548	2339.35	4093.51	65.1804
ENSDART00000102075.6	2294	2085.35	571.393	10.2064
ENSDART00000131527.2	568	359.948	87.7563	9.08143
ENSDART00000193535.1	2495	2286.35	0	0
ENSDART00000099023.5	1857	1648.35	0	0
ENSDART00000124704.3	2045	1836.35	17	0.344834
ENSDART00000172128.2	5952	5743.35	38.3127	0.248482
ENSDART00000190331.1	6410	6201.35	98.3255	0.590604
ENSDART00000163523.2	6288	6079.35	48.8497	0.29931
ENSDART00000152294.2	573	364.905	0	0
ENSDART00000060399.6	1827	1618.35	3408.7	78.4572
ENSDART00000152210.2	755	546.376	263.664	17.9753
ENSDART00000173901.2	419	215.024	22.5337	3.90357
ENSDART00000166640.2	1217	1008.35	73	2.69668
ENSDART00000152011.3	7428	7219.35	86.8625	0.448178
ENSDART00000087817.6	2027	1818.35	0	0
ENSDART00000185404.1	396	193.417	9	1.73326
ENSDART00000193191.1	549	341.189	0	0
ENSDART00000147783.2	828	619.376	0	0
ENSDART00000079003.6	778	569.376	0	0
ENSDART00000022042.10	6814	6605.35	626	3.53017
ENSDART00000191870.1	6804	6595.35	0	0
ENSDART00000160719.2	854	645.376	376.78	21.7466
ENSDART00000168583.2	1359	1150.35	538.22	17.428
ENSDART00000141835.2	1852	1643.35	413.22	9.36631
ENSDART00000187816.1	882	673.376	0	0
ENSDART00000101928.6	642	433.434	0	0
ENSDART00000171183.2	5373	5164.35	300.842	2.1699
ENSDART00000159380.2	1029	820.348	4.4475	0.201945
ENSDART00000182081.1	5902	5693.35	29.7729	0.194792
ENSDART00000180565.1	6025	5816.35	0	0
ENSDART00000170387.2	2508	2299.35	0	0
ENSDART00000161553.2	6351	6142.35	677.814	4.11048
ENSDART00000125302.3	931	722.348	2415.81	124.576
ENSDART00000167748.2	8607	8398.35	37744.2	167.407
ENSDART00000048399.8	3571	3362.35	900.564	9.97673
ENSDART00000169613.3	3342	3133.35	256.594	3.05038
ENSDART00000136243.3	2660	2451.35	473.614	7.19674
ENSDART00000144690.2	594	385.694	0	0
ENSDART00000135470.2	1265	1056.35	0	0
ENSDART00000184882.1	1244	1035.35	76.4605	2.75085
ENSDART00000182342.1	5843	5634.35	178.569	1.18053
ENSDART00000110923.4	3352	3143.35	1243.17	14.7317
ENSDART00000140631.2	494	286.963	0	0
ENSDART00000180289.1	7988	7779.35	1406.64	6.73531
ENSDART00000162711.2	2409	2200.35	52.1278	0.882458
ENSDART00000168964.2	2001	1792.35	32	0.665034
ENSDART00000129776.3	2055	1846.35	309.994	6.25397
ENSDART00000138593.2	1152	943.348	103.79	4.09825
ENSDART00000135800.3	1913	1704.35	269.255	5.88468
ENSDART00000060731.5	2427	2218.35	0	0
ENSDART00000152447.3	1252	1043.35	23.2126	0.828727
ENSDART00000152314.2	1307	1098.35	0	0
ENSDART00000159007.2	3680	3471.35	29.2367	0.313723
ENSDART00000136034.2	535	327.403	20.7704	2.36308
ENSDART00000027957.8	2008	1799.35	427.98	8.85982
ENSDART00000190601.1	2067	1858.35	90.2492	1.80898
ENSDART00000192547.1	2539	2330.35	0	0
ENSDART00000147299.2	2721	2512.35	0	0
ENSDART00000138393.2	801	592.376	0	0
ENSDART00000083665.6	2892	2683.35	21.9	0.304007
ENSDART00000134337.2	797	588.376	9.89045	0.626148
ENSDART00000145355.2	543	335.27	0	0
ENSDART00000077962.6	3076	2867.35	2395.65	31.1214
ENSDART00000132917.2	670	461.398	295.787	23.8792
ENSDART00000058777.5	1113	904.348	369.213	15.2075
ENSDART00000152758.2	1186	977.348	0	0
ENSDART00000153830.2	731	522.398	72	5.1339
ENSDART00000137056.2	420	215.971	0	0
ENSDART00000079596.7	1775	1566.35	450.628	10.7163
ENSDART00000111246.4	1568	1359.35	49.3716	1.35289
ENSDART00000134073.3	2977	2768.35	956.699	12.8727
ENSDART00000148358.2	3165	2956.35	0	0
ENSDART00000146152.2	558	350.133	22	2.34048
ENSDART00000191927.1	2113	1904.35	0	0
ENSDART00000137572.3	781	572.376	273.366	17.7901
ENSDART00000066621.5	1214	1005.35	60	2.22306
ENSDART00000151915.2	5427	5218.35	0	0
ENSDART00000186814.1	7468	7259.35	181.75	0.932594
ENSDART00000151680.2	591	382.71	3.15652	0.307224
ENSDART00000151526.2	542	334.27	0	0
ENSDART00000130984.4	1091	882.348	29.8435	1.25987
ENSDART00000159787.2	598	389.694	2793.98	267.064
ENSDART00000180531.1	3260	3051.35	1004.42	12.2613
ENSDART00000174340.2	6291	6082.35	360.897	2.21018
ENSDART00000174223.2	1766	1557.35	163.334	3.90666
ENSDART00000131113.3	4206	3997.35	29.2224	0.272308
ENSDART00000030566.8	1529	1320.35	60	1.6927
ENSDART00000021139.8	1486	1277.35	688.865	20.0882
ENSDART00000144356.2	690	481.398	12.2019	0.944145
ENSDART00000041549.4	2310	2101.35	569.588	10.0967
ENSDART00000172176.2	5134	4925.35	1170.8	8.85444
ENSDART00000152224.4	2042	1833.35	339	6.88765
ENSDART00000150764.2	3091	2882.35	2.42754	0.0313715
ENSDART00000045565.7	2342	2133.35	78.7666	1.3753
ENSDART00000137505.2	2146	1937.35	37.2334	0.715882
ENSDART00000138769.3	838	629.376	0	0
ENSDART00000171527.2	2397	2188.35	29	0.493626
ENSDART00000159066.2	1923	1714.35	0	0
ENSDART00000059230.7	798	589.376	0	0
ENSDART00000157782.2	1366	1157.35	0	0
ENSDART00000167074.2	1829	1620.35	7	0.160919
ENSDART00000137135.3	1357	1148.35	2	0.0648743
ENSDART00000179299.2	1566	1357.35	0	0
ENSDART00000135853.2	703	494.398	0	0
ENSDART00000101923.4	775	566.376	0	0
ENSDART00000140076.3	471	264.561	5.49294	0.773385
ENSDART00000005593.6	2918	2709.35	1578.83	21.7063
ENSDART00000131927.2	862	653.376	68.0669	3.88051
ENSDART00000139702.3	792	583.376	271.661	17.3458
ENSDART00000112071.4	2179	1970.35	0	0
ENSDART00000110319.4	430	225.342	0	0
ENSDART00000124938.3	1166	957.348	26	1.01163
ENSDART00000105666.5	678	469.398	0	0
ENSDART00000145368.3	3871	3662.35	117.243	1.19246
ENSDART00000189704.1	3405	3196.35	0	0
ENSDART00000086984.8	3587	3378.35	97.9156	1.0796
ENSDART00000152133.2	538	330.364	11.425	1.28819
ENSDART00000168105.3	1497	1288.35	5.65946	0.163628
ENSDART00000148872.3	3100	2891.35	24.3228	0.31335
ENSDART00000078656.4	2771	2562.35	0	0
ENSDART00000153050.2	836	627.376	56.4108	3.34927
ENSDART00000153055.2	4622	4413.35	830.845	7.01243
ENSDART00000153238.2	503	295.788	9.43007	1.18754
ENSDART00000178840.2	3780	3571.35	136.398	1.42263
ENSDART00000152812.2	1060	851.348	0	0
ENSDART00000145012.2	1174	965.348	26.2364	1.01236
ENSDART00000109714.4	3000	2791.35	139.06	1.85569
ENSDART00000099690.5	3364	3155.35	247.23	2.91857
ENSDART00000150005.4	2824	2615.35	341	4.8567
ENSDART00000170318.2	1063	854.348	0	0
ENSDART00000138581.2	2326	2117.35	0	0
ENSDART00000142160.2	716	507.398	0	0
ENSDART00000134963.2	714	505.398	0	0
ENSDART00000135782.2	494	286.963	4.55582	0.591366
ENSDART00000131747.2	487	280.101	3.56644	0.474283
ENSDART00000099131.6	4652	4443.35	6.87774	0.057657
ENSDART00000078491.4	3131	2922.35	0	0
ENSDART00000124159.3	736	527.398	0	0
ENSDART00000164066.2	486	279.112	0	0
ENSDART00000183719.1	423	218.794	0	0
ENSDART00000031499.9	1874	1665.35	65	1.45387
ENSDART00000021177.8	2893	2684.35	593	8.22872
ENSDART00000143009.3	2478	2269.35	2760.21	45.3062
ENSDART00000149088.3	3170	2961.35	1202.81	15.1294
ENSDART00000102658.5	2608	2399.35	640.285	9.94024
ENSDART00000111063.5	2105	1896.35	22.7275	0.446427
ENSDART00000144172.2	852	643.376	0	0
ENSDART00000189225.1	2465	2256.35	732.664	12.0953
ENSDART00000156685.2	2579	2370.35	29.1296	0.457761
ENSDART00000049900.7	1355	1146.35	199	6.46626
ENSDART00000161054.2	615	406.534	0	0
ENSDART00000048046.5	3659	3450.35	1802.44	19.4588
ENSDART00000134042.2	690	481.398	0	0
ENSDART00000135068.3	690	481.398	0	0
ENSDART00000184943.1	6235	6026.35	77.8326	0.481087
ENSDART00000098412.5	930	721.348	0	0
ENSDART00000055956.8	6262	6053.35	573.343	3.52805
ENSDART00000142760.3	1264	1055.35	386.44	13.6396
ENSDART00000133259.3	775	566.376	0	0
ENSDART00000147598.3	818	609.376	27.5686	1.68518
ENSDART00000136929.3	1028	819.348	0	0
ENSDART00000146986.2	759	550.376	111.999	7.58005
ENSDART00000143340.3	2989	2780.35	1983.76	26.577
ENSDART00000188720.1	633	424.452	84.6399	7.42786
ENSDART00000086985.6	1867	1658.35	8000.59	179.706
ENSDART00000073663.6	1693	1484.35	179.765	4.51114
ENSDART00000124128.3	1000	791.348	0	0
ENSDART00000158616.2	4279	4070.35	2519.46	23.0565
ENSDART00000114004.5	3684	3475.35	195.113	2.09124
ENSDART00000188223.1	3989	3780.35	112.913	1.11257
ENSDART00000138116.3	1500	1291.35	1193.48	34.426
ENSDART00000051344.6	1378	1169.35	0	0
ENSDART00000156765.3	6035	5826.35	734.627	4.69664
ENSDART00000158444.2	1096	887.348	143.456	6.02198
ENSDART00000003508.9	1671	1462.35	0	0
ENSDART00000124221.3	774	565.376	0	0
ENSDART00000089506.6	2773	2564.35	3395	49.315
ENSDART00000137552.2	1815	1606.35	198	4.59137
ENSDART00000138082.2	511	303.631	0	0
ENSDART00000079215.6	2398	2189.35	248.716	4.23161
ENSDART00000007732.8	2668	2459.35	84	1.27226
ENSDART00000075187.4	1486	1277.35	27.3022	0.796168
ENSDART00000130680.5	1216	1007.35	297.83	11.013
ENSDART00000171017.2	651	442.434	0	0
ENSDART00000137708.3	447	241.531	0	0
ENSDART00000139844.2	524	316.519	0	0
ENSDART00000132149.2	467	260.72	152.858	21.8389
ENSDART00000174974.2	2814	2605.35	271.327	3.87922
ENSDART00000037553.7	2352	2143.35	0	0
ENSDART00000149595.2	587	378.755	0	0
ENSDART00000155832.2	5345	5136.35	258.309	1.87327
ENSDART00000131424.3	1497	1288.35	0	0
ENSDART00000023686.9	2135	1926.35	45.0451	0.871022
ENSDART00000155088.2	887	678.376	0	0
ENSDART00000164646.2	1718	1509.35	28	0.691011
ENSDART00000150600.2	3646	3437.35	27.059	0.293227
ENSDART00000148920.2	1507	1298.35	322	9.23807
ENSDART00000082454.4	1800	1591.35	409.734	9.59077
ENSDART00000140119.2	761	552.376	13.2658	0.894573
ENSDART00000139385.3	2618	2409.35	20688	319.842
ENSDART00000186419.1	1271	1062.35	0	0
ENSDART00000126154.4	2705	2496.35	2282.06	34.0517
ENSDART00000141696.2	801	592.376	19.3534	1.21696
ENSDART00000136522.2	460	253.939	0	0
ENSDART00000126897.3	1120	911.348	490.297	20.0397
ENSDART00000149746.2	699	490.398	0	0
ENSDART00000152603.2	3438	3229.35	258.665	2.98359
ENSDART00000190066.1	1971	1762.35	0	0
ENSDART00000155838.2	8327	8118.35	2604	11.9478
ENSDART00000032547.8	729	520.398	0	0
ENSDART00000148440.3	1927	1718.35	363.374	7.87696
ENSDART00000027829.10	3749	3540.35	5210.58	54.8222
ENSDART00000036797.9	1490	1281.35	911.518	26.4981
ENSDART00000171830.2	338	141.791	128.482	33.7528
ENSDART00000158914.2	1298	1089.35	101	3.45359
ENSDART00000128404.3	2021	1812.35	11.5289	0.236954
ENSDART00000156366.2	1235	1026.35	0.471067	0.0170964
ENSDART00000142636.2	831	622.376	14.7988	0.885707
ENSDART00000145222.2	379	177.796	0	0
ENSDART00000143435.2	465	258.793	32.9143	4.73748
ENSDART00000004797.10	2143	1934.35	0	0
ENSDART00000183838.1	3962	3753.35	83.5679	0.829349
ENSDART00000188584.1	3592	3383.35	568.653	6.26062
ENSDART00000131712.2	594	385.694	7	0.676039
ENSDART00000146649.3	3335	3126.35	6.0021	0.0715126
ENSDART00000144207.3	551	343.161	0	0
ENSDART00000140053.3	1406	1197.35	0	0
ENSDART00000171675.2	835	626.376	166.666	9.91122
ENSDART00000167001.2	1614	1405.35	2511.33	66.5636
ENSDART00000183618.1	848	639.376	0	0
ENSDART00000127015.3	12025	11816.3	1899.41	5.98758
ENSDART00000145273.2	1530	1321.35	63.4022	1.78732
ENSDART00000006300.7	1694	1485.35	586.492	14.7079
ENSDART00000159935.2	1976	1767.35	175.187	3.69229
ENSDART00000141332.3	3804	3595.35	0	0
ENSDART00000137749.2	470	263.603	0	0
ENSDART00000100772.5	2029	1820.35	0	0
ENSDART00000180013.1	4514	4305.35	0.679519	0.00587909
ENSDART00000177914.2	4496	4287.35	113.199	0.983488
ENSDART00000004333.10	3026	2817.35	204.304	2.70118
ENSDART00000124533.3	2486	2277.35	21.1066	0.345227
ENSDART00000180257.1	6674	6465.35	985.68	5.67885
ENSDART00000138653.4	439	233.859	33.0456	5.26352
ENSDART00000132647.4	736	527.398	0	0
ENSDART00000084102.6	3756	3547.35	19	0.199511
